NÚMERO DO TERMO;ANO DO TERMO;CPF/CNPJ;RAZÃO SOCIAL;OBJETO;DATA DA ASSINATURA;DATA DE PUBLICAÇÃO;VIGÊNCIA;SITUAÇÃO
1;2024;21154554000113;Tribunal de Justiça do Estado de Minas Gerais - TJMG;" visando à prorrogação de sua vigência por 24 (vinte e quatro) meses, nos termos da minuta 0321422"", encaminho os autos do Processo SEI 24.0.000005233-3 a essa Coordenadoria para o regular prosseguimento do feito, observada a medida disposta no referido parecer.";13/08/2024;29/08/2024;08/28/2026 00:00:00;Não informada
152692018;2024;00414607000118;TRIBUNAL DE CONTAS DA UNIÃO;"O TERMO tem por objeto a adesão de órgão ou entidade integrante do Poder Legislativo, em qualquer nível federativo, à Rede de Cooperação Legislativo Sustentável, com o objetivo de promover o intercâmbio de práticas e desenvolvimento de ações voltadas à Gestão Sustentável do Legislativo em âmbito Nacional, trocando experiências, informações, pesquisas, tecnologias e ações de sustentabilidade, entre outras ações dispostas no ACORDO de cooperação técnica que instituiu a mencionada Rede.

 ";17/09/2024;15/03/2024;03/15/2034 00:00:00;Não informada
1;2024;26664015000148; União, por intermédio da Controladoria Geral da União, com a ATRICON.;Este termo tem por objeto a adesão ao Acordo de Cooperação Técnica nº 047/2024, celebrado entre a União, por meio da Controladoria Geral da União - CGU -, e a Associação dos Membros dos Tribunais de Contas do Brasil - Atricon -, em 29/07/2024, pelo qual se estabeleceu a cooperação técnica e o intercâmbio de dados, conhecimentos, informações e experiências, visando a simplificação do atendimento prestado aos usuários dos serviços públicos, o fortalecimento da transparência pública, a fiscalização de recursos federais descentralizados a estados e municípios e à disseminação de mecanismos de participação social, controle social e avaliação social de políticas públicas e serviços públicos no âmbito da Rede Nacional de Ouvidorias, instituída pelo Decreto nº 9.723, de 11 de março de 2019, que alterou o Decreto nº 9.492, de 05 de setembro de 2018, e regida pela Resolução n. 24, de 21 de junho de 2023, do Programa de Formação Continuada, instituído pela Instrução Normativa 06/2018, alterado pela Portaria nº 2.031/2020, e de outras atividades desenvolvidas para promoção de práticas de governo aberto no comum interesse da CGU e da ATRICON, conforme detalhamento apresentado nas cláusulas do citado Acordo de Cooperação e do Plano de Trabalho constante do seu Anexo I, que integram o presente Termo de Adesão, independentemente de transcrição.;19/09/2024;23/09/2024;07/29/2029 00:00:00;Não informada
6;2024;05461142000170;SECRETARIA DO ESTADO DE PLANEJAMENTO E GESTÃO;"Constitui objeto deste Convênio a cooperação entre os signatários para operacionalizar a
cessão, ao Tribunal de Contas do Estado de Minas Gerais - TCE-MG, do servidor Frederico de Santana
Tescarolo, Masp 1014085-3, ocupante do cargo de Especialista em Políticas Públicas e Gestão
Governamental - EPPGG, lotado na Secretaria de Estado de Planejamento e Gestão - SEPLAG, na
modalidade com ônus para o cedente, mediante reembolso pelo cessionário.
";22/05/2024;29/05/2024;12/31/2025 00:00:00;Não informada
2;2024;04716733000188;Instituto Brasileiro de Auditoria de Obras Públicas - IBRAOP,;"A filiação do TCEMG ao IBRAOP visa desenvolver ações voltadas ao aprimoramento da gestão e do controle de obras públicas no Estado de Minas Gerais, bem como, para uniformização de entendimentos, por meio da elaboração de orientações técnicas, procedimentos de auditoria de obras públicas, realização e reuniões técnicas, cursos, capacitações e eventos técnicos na área de Auditoria de Obras Públicas, entre outros.

 ";06/12/2024;10/12/2024;12/06/2029 00:00:00;Não informada
143;2024;21154554000113;Tribunal de Justiça do Estado de Minas Gerais;"RESOLVE ADERIR voluntariamente ao Acordo de Cooperação nº 143/2024, nos termos de sua CLÁUSULA QUINTA, passando a integrar, como membro, a Rede de Escolas de Formação de Agentes Públicos em Minas Gerais - REAP-MG, formalizada e sistematizada no âmbito do Acordo de Cooperação em comento.

 ";28/11/2024;13/12/2024;07/04/2029 00:00:00;Não informada
0;2024;18715615000160;ESTADO DE MINAS GERAIS e os MUNICÍPIOS  DE BELO HORIZONTE E CONTAGEM, com a  interveniência da COMPANHIA DE  SANEAMENTO DE MINAS GERAIS;Constitui objeto do presente CONVÊNIO a conjugação de esforços administrativos e financeiros, com atuação harmônica.;01/10/2024;08/10/2024;10/08/2026 00:00:00;Não informada
47;2024;26664015000148;CONTROLADORIA GERAL DA UNIÃO;Este termo tem por objeto a adesão ao Acordo de Cooperação Técnica nº 047/2024, celebrado entre a União, por meio da Controladoria Geral da União - CGU -, e a Associação dos Membros dos Tribunais de Contas do Brasil - Atricon -, em 29/07/2024, pelo qual se estabeleceu a cooperação técnica e o intercâmbio de dados, conhecimentos, informações e experiências, visando a simplificação do atendimento prestado aos usuários dos serviços públicos, o fortalecimento da transparência pública, a fiscalização de recursos federais descentralizados a estados e municípios e à disseminação de mecanismos de participação social, controle social e avaliação social de políticas públicas e serviços públicos no âmbito da Rede Nacional de Ouvidorias, instituída pelo Decreto nº 9.723, de 11 de março de 2019, que alterou o Decreto nº 9.492, de 05 de setembro de 2018, e regida pela Resolução n. 24, de 21 de junho de 2023, do Programa de Formação Continuada, instituído pela Instrução Normativa 06/2018, alterado pela Portaria nº 2.031/2020, e de outras atividades desenvolvidas para promoção de práticas de governo aberto no comum interesse da CGU e da ATRICON, conforme detalhamento apresentado nas cláusulas do citado Acordo de Cooperação e do Plano de Trabalho constante do seu Anexo I, que integram o presente Termo de Adesão, independentemente de transcrição.;19/09/2024;23/09/2024;07/29/2029 00:00:00;Não informada
1;2024;00360305000104;CAIXA ECONÔMICA FEDERAL;Este Termo de Concessão de Uso Onerosa tem como objeto o espaço físico de 175 m² (cento e sessenta e cinco metros quadrados) localizado no Edifício Sede do TRIBUNAL, para funcionamento de um Posto de Atendimento Bancário - PAB da CAIXA ECONÔMICA FEDERAL, para uso dos servidores ativos e inativos, funcionários e pensionistas do TRIBUNAL, além dos jurisdicionados.;29/11/2024;03/12/2024;12/01/2029 00:00:00;Não informada
3;2024;00000000000191;BANCO DO BRASIL S.A.;espaço físico de 165 m² (cento e sessenta e cinco metros quadrados) localizado na área externa do Edifício Sede do TRIBUNAL, para funcionamento de um Posto de Atendimento Bancário - PAB do BANCO DO BRASIL S.A., para uso dos servidores ativos e inativos, funcionários e pensionistas do TRIBUNAL, além dos jurisdicionados.;22/01/2025;24/01/2025;01/21/2030 00:00:00;Não informada
