NÚMERO DO TERMO;ANO DO TERMO;CPF/CNPJ;RAZÃO SOCIAL;OBJETO;DATA DA ASSINATURA;DATA DE PUBLICAÇÃO;VIGÊNCIA;SITUAÇÃO
8;2025;17464652000180;FUNDAÇÃO JOÃO PINHEIRO;"O presente Acordo de Cooperação Técnica tem por objeto a cooperação técnica e o intercâmbio de informações públicas entre o TRIBUNAL e a FUNDAÇÃO, visando à otimização de suas atribuições estatutárias.
Fica retificado o número do Acordo de Cooperação Técnica 008/2025, substituindo o número original 007/2025.
";11/07/2025;16/07/2025;07/11/2030 00:00:00;Não informada
2;2025;03551542000140;ASSOCIAÇÃO DOS SERVIDORES DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS ASSCONTAS;Constitui objeto deste Termo a cooperação técnica, operacional e logística entre os partícipes para a realização de eventos, capacitações, seminários, congressos e outras iniciativas promovidas pelo TRIBUNAL ou em parceria por ele endossada, visando ao aprimoramento contínuo das atividades de controle externo, ao fomento da transparência, à educação cidadã e ao desenvolvimento de seus membros e servidores, bem como da sociedade em geral.;17/07/2025;18/07/2025;07/17/2025 00:00:00;Não informada
2;2025;37161122000170;Associação dos Membros dos Tribunais de Contas do Brasil (ATRICON);Este Convênio tem por objeto estabelecer a cooperação e a colaboração mútua entre o TCEMG e a ATRICON para viabilizar a contratação de prestação de serviços de pesquisa de opinião pública, compreendendo o planejamento, a elaboração de questionário, a coleta de dados, a análise dos achados, a elaboração e a apresentação de resultados, acerca da percepção da sociedade, de gestores públicos, dos meios de comunicação e de outros atores institucionais sobre a imagem e a função dos Tribunais de Contas, a ser realizada de forma amostral, visando, a partir dos resultados evidenciados, adotar as ações necessárias à modernização, ao aprimoramento e à melhoria da imagem dos órgãos de controle externo brasileiro, conforme detalhado neste instrumento.;29/07/2025;30/07/2025;07/29/2026 00:00:00;Não informada
7;2025;18715383000140;MUNICÍPIO DE BELO HORIZONTE;"Constitui objeto do Acordo de Cooperação Técnica o fomento à inclusão produtiva de pessoas em situação de rua ou com trajetória de vida nas ruas, nos termos da legislação municipal de Belo Horizonte que institui o Programa Estamos Juntos, mediante o estímulo à contratação de beneficiários do referido programa por empresas terceirizadas que prestam serviços ao TCEMG, conforme especificações estabelecidas no plano de trabalho.
";19/08/2025;21/08/2025;08/18/2027 00:00:00;Não informada
3;2025;19984848000120;ORDEM DOS ADVOGADOS DO BRASIL - SEÇÃO MINAS GERAIS;"O presente Termo de Cooperação Técnica tem por objeto estabelecer a parceria entre o TCEMG e a OABMG para: o planejamento, a organização e a realização de cursos, palestras e oficinas temáticas; fomentar o diálogo institucional e promover a qualificação das unidades gestoras de RPPS, para reconhecer a importância do fortalecimento da cultura previdenciária como política pública estratégica; incentivar o desenvolvimento contínuo de boas práticas de gestão, de modo a contribuir para a consolidação de mecanismos de controles internos, governança corporativa e educação previdenciária, com o objetivo de elevar os níveis de eficiência, transparência e sustentabilidade dos regimes próprios municipais. ";29/08/2025;01/09/2025;08/28/2030 00:00:00;Não informada
19162292;2025;20971057000145;MINISTÉRIO PÚBLICO DE MINAS GERAIS;Constitui objeto do presente Acordo de Cooperação Técnica a cooperação técnica entre os partícipes com a finalidade de facilitar o fornecimento de documentos, dados e informações, visando dotar os partícipes nos procedimentos de fiscalização, em seus respectivos âmbitos de atuação, de maior consistência e qualidade na apreciação da legalidade dos atos da Administração Pública Estadual e Municipal.;22/08/2025;23/08/2025;08/22/2026 00:00:00;Não informada
1;2025;19138890000120;SECRETARIA DE ESTADO DE CULTURA E TURISMO;"Constitui objeto do presente termo a transferência de bens móveis ociosos e antieconômicos do TRIBUNAL à SECULT, com base nas justificativas constantes do processo administrativo em que se fundamenta este ato.
";10/09/2025;11/09/2025;09/10/2026 00:00:00;Não informada
1;2025;17217985000104;UNIVERSIDADE FEDERAL DE MINAS GERAIS, por intermédio da FACULDADE DE DIREITO, com interveniência do Centro de Excelência em Estudos Europeus Jean Monnet da UFMG;Constitui objeto do presente termo o desenvolvimento de programas específicos de cooperação, tanto nos aspectos técnicos, acadêmicos e profissionais, quanto nas áreas de pesquisas intersetoriais, bem como na colaboração pelo desenvolvimento conjunto de pesquisas e estudos relacionados às suas áreas de atuação, além da cooperação nos campos da investigação em programas de Pós-Graduação e da internacionalização, mediante o oferecimento de cursos, como também a realização de eventos de capacitação e formação profissional relacionados com as temáticas do desenvolvimento sustentável, das políticas públicas, do direito da integração, da proteção dos direitos humanos e do Estado de Direito.;15/10/2025;16/10/2025;10/14/2030 00:00:00;Não informada
17;2025;05818935000101;TRIBUNAL DE CONTAS DO ESTADO DO PIAUÍ;cujo objeto consiste em viabilizar o intercâmbio e acesso mútuo a soluções tecnológicas desenvolvidas pelas instituições, destacando-se, em especial, o Sistema de Captura de Evidência (Capture), desenvolvido pelo TCE-PI e voltado à aplicação de questionários em fiscalizações ou em atividades internas do Tribunal.;15/10/2025;17/10/2025;10/15/2030 00:00:00;Não informada
9;2025;27532498000190;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;Constitui objeto do presente convênio a cessão do servidor DAGLES ANTÔNIO MIRANDA FERNANDES BARBOSA, matrícula TCEMG nº 3225-2, ocupante do cargo de Analista de Controle Externo, pertencente ao quadro do CEDENTE, para exercício das correspondentes funções junto ao CESSIONÁRIO, na modalidade com ônus para o CESSIONÁRIO.;21/10/2025;22/10/2025;10/21/2026 00:00:00;Não informada
